ticker,current price,change %,volatility,sharpe ratio,trend,min price,max price
XCN,$0.01,-93.90%,696.09%,0.40,Uptrend,$0.00,$0.18
ALGO,$0.08,-94.00%,112.10%,0.17,Uptrend,$0.08,$2.31
SNX,$0.28,-94.80%,125.04%,0.01,Downtrend,$0.28,$7.79
QTUM,$0.82,-95.44%,128.52%,0.29,Downtrend,$0.82,$73.32
ZEC,$214.60,-95.71%,134.29%,0.42,Uptrend,$18.13,$5000.00
FIL,$0.84,-95.80%,120.67%,0.22,Downtrend,$0.84,$190.87
GALA,$0.00,-97.06%,528.44%,0.45,Downtrend,$0.00,$0.72
XEC,$0.00,-97.16%,96.62%,-0.38,Downtrend,$0.00,$0.00
IMX,$0.15,-98.16%,115.20%,-0.25,Downtrend,$0.15,$9.19
CRV,$0.21,-98.27%,140.69%,0.18,Downtrend,$0.21,$12.21
ICP,$2.22,-99.48%,113.08%,-0.42,Downtrend,$2.08,$426.98
